评论用户,评论时间,评论内容
鸠鸠史,2022-06-17 13:36,我支持克莱因为他穿的是安踏球鞋
☆ost空之光,2022-06-17 13:37,就体育故事来说 克莱
国手李凯尔,2022-06-17 22:42,鸡屎高
寻歧,2022-06-17 22:53,你让克莱有哈登那哨子试试
库触,2022-06-17 23:12,哈登啊
逃兵哈登,2022-06-18 10:57,汤姆森4个冠军，季后赛曾经4次淘汰哈登，哈登职业生涯最好成绩老六亚军，而且克莱16年单核淘汰哈登。高下立判啊
FLAME,2022-06-18 12:34,克莱
刺蜜策划他爹,2022-06-18 13:52,季后赛克莱，常规赛哈登
p保罗乔治,2022-06-18 15:22,克莱这种的有历史地位？
小鸡翼,2022-06-18 15:35,首先是个人荣誉 其次再是团队荣誉
贴吧用户_7PbKD81,2022-06-18 16:50,别拿鸡💩跟四冠的比，不配碰瓷。
sky月光眼泪,2022-06-18 17:37,克莱这种老三老四也配谈历史地位？勇狗是不是失心疯了，知道什么是mvp得分王一阵吗？
可无来生！,2022-06-18 17:49,哈登被汤姆森吊打送回家
贴吧用户_aS7JP2M,2022-06-18 17:50,这竟然也能去讨论起来
彼岸21329,2022-06-18 18:24,克莱怎么说也是二当家拿4冠，虽然跟登哥的个人荣誉比差了一点，但是我感觉登哥如果终身无冠，地位顶多跟克莱半斤八两吧，而且克莱作为二当家，如果真的让他做大当家放开抡，数据不一定比哈登差，巅峰克莱的得分能力可谓爆裂，别忘了他三节狂砍60分的战绩
KyireI-,2022-06-18 18:42,四冠军 大于无冠军
贴吧用户_QRaXt53,2022-06-18 18:50,球队老二怎么和当家球星比？级别都不同怎么比？克莱就是个角色球员，放弱队都当不了老大，克莱拿过啥个人荣誉不？
总会有那一个人,2022-06-18 19:05,克莱
一贱你就笑94,2022-06-18 19:47,不在一个层级没法比
2022,2022-06-18 20:02,就哈登那关键就拉稀的完蛋玩意凭什么碰瓷克莱的
